"Env","Name","Portal Url"
"deloitte","Pathify University","https://engage.hbcuv.org"
"csbsju","Saint Ben\"s and Saint John\"s","https://my.csbsju.edu"
"cooley","Cooley Law School","https://connect.cooley.edu"
"dalhousie","Dalhousie University","https://dalu.dal.ca"
"chattanooga","The University of Tennessee at Chattanooga","https://myutcportal.utc.edu"
"cityu","City University of Seattle","https://my.cityu.edu"
"collin","Collin College","https://cougarweb.collin.edu"
"dis","DIS Study Abroad in Scandinavia","https://navigate.disabroad.org"
"colgate","Colgate University","https://colgate.pathify.com"
"asun","Arkansas State University - Newport","https://onestop.asun.edu"
"ccad","Columbus College of Art & Design","https://ccad.pathify.com"
"avc","Antelope Valley College","https://my.avc.edu"
"campbell","Campbell University","https://my.campbell.edu"
"graceland","Graceland University","https://portal.graceland.edu"
"dmacc","DMACC","https://my.dmacc.edu"
"byui","BYU-Idaho","https://my.byui.edu"
"denver","University of Denver","https://my.du.edu"
"cei","College of Eastern Idaho","https://my.cei.edu"
"indianatech","Indiana Tech","https://warriorsconnect.indianatech.edu"
"cos","Pathify University","https://cos.pathify.com"
"allegheny","Allegheny College","https://gatorhub.allegheny.edu"
"concord","Concord University","https://myconcordu.concord.edu"
"grandview","Grand View University","https://mygvu.grandview.edu"
"belhaven","Belhaven University","https://blazenet.belhaven.edu"
"drive","Example University","https://drive.pathify.com"
"grambling","Grambling University","https://mygsu.gram.edu"
"henderson","Pathify University","https://henderson.pathify.com"
"ccu","Colorado Christian University","https://connect.ccu.edu"
"csc","Chadron State College","https://portal.csc.edu"
"indianhills","Indian Hills Community College","https://win.indianhills.edu"
"hinds","Hinds Community College","https://my.hindscc.edu"
"cornerstone","Cornerstone","https://my.cornerstone.edu"
"carlow","Carlow University","https://my.carlow.edu"
"franciscan","Franciscan University of Steubenville","https://port.franciscan.edu"
"hancock","Allan Hancock College","https://portal.hancockcollege.edu"
"lakeland","Lake Land College","https://hub.lakelandcollege.edu"
"hsu","Hardin-Simmons University","https://central.hsutx.edu"
"cui","Concordia University Irvine","https://my.cui.edu"
"lassen","Lassen Community College","https://mylassen.lassencollege.edu"
"jbu","John Brown University","https://eaglenet.jbu.edu"
"hpu","Howard Payne University","https://gateway.hputx.edu"
"aamu","Alabama A&M","https://my.aamu.edu"
"ithaca","Pathify University","https://ithaca.pathify.com"
"iwu","Illinois Wesleyan University","https://my.iwu.edu"
"fayetteville","Fayetteville State University","https://fsuengage.uncfsu.edu"
"iowalakes","Iowa Lakes Community College","https://my.iowalakes.edu"
"lasalle","Pathify University","https://lasalle.pathify.com"
"lapu","Los Angeles Pacific University","https://lapu.pathify.com"
"calarts","California Institute of Arts","https://hub.calarts.edu"
"cuw","Concordia University Portal","https://my.cuw.edu"
"mccc","Montgomery County Community College","https://connect.mc3.edu"
"gvsu","Grand Valley State University","https://dock.gvsu.edu"
"breadloaf","your Bread Loaf online community","https://breadweb.middlebury.edu"
"meredith","Pathify University","https://meredith.pathify.com"
"ferris","Ferris State University","https://360.ferris.edu"
"jwu","jwuLink","https://link.jwu.edu"
"athens","Athens State University","https://myathens.athens.edu"
"central","Central College","https://my.central.edu"
"irsc","Indian River State College","https://go.irsc.edu"
"gsw","Georgia Southwestern State University","https://my.gsw.edu"
"lindenwood","Lindenwood University","https://mylu.lindenwood.edu"
"felician","Felician University","https://connection.felician.edu"
"mgccc","Mississippi Gulf Coast Community College","https://mygulfcoast.mgccc.edu"
"midland","Midland University","https://my.midlandu.edu"
"mmc","Meharry Medical College","https://pathify.mmc.edu"
"middlebury","the Middlebury Institute","https://micommunity.middlebury.edu"
"gwu","The George Washington University","https://portal.gwu.edu"
"gallaudet","Gallaudet University","https://mygu.gallaudet.edu"
"mitsloan","Pathify University","https://mitsloan.pathify.com"
"iit","Illinois Tech","https://portal.iit.edu"
"lincoln","Lincoln University","https://mylu.lincoln.edu"
"niacc","NIACC","https://trojanhome.niacc.edu"
"muhlenberg","Muhlenberg College","https://bergconnect.muhlenberg.edu"
"nocccd","North Orange County Community College District","https://mg.nocccd.edu"
"nicc","Northeast Iowa Community College","https://mycampus.nicc.edu"
"oakland","Oakland University","https://mysail.oakland.edu"
"newschool","The New School","https://my.newschool.edu"
"olli","OLLI RU","https://ollionline.rutgers.edu"
"otis","Otis College of Art and Design","https://portal.otis.edu"
"pccc","Passaic County Community College","https://my.pccc.edu"
"nts","Nazarene Theological Seminary","https://my.nts.edu"
"pgcc","Prince George\"s Community College","https://myportal.pgcc.edu"
"oxy","Occidental College","https://my.oxy.edu"
"pima","Pima Community College","https://my.pima.edu"
"pvamu","Pathify University","https://pvamu.pathify.com"
"pointloma","Point Loma Nazarene University","https://my.pointloma.edu"
"pacific","University of the Pacific","https://my.pacific.edu"
"nova","Nova Southeastern University","https://sharklinkportal.nova.edu"
"pnw","Purdue University Northwest","https://mypnw.pnw.edu"
"pitzer","Pathify University","https://pitzer.pathify.com"
"peru","Peru State College","https://portal.peru.edu"
"pomona","Pomona College","https://pomona.pathify.com"
"prospects","Pathify University","https://prospects.pathify.com"
"egsc","East Georgia State College","https://myegsc.ega.edu"
"rmit","RMIT Online","https://campus.rmitonline.edu.au"
"redeemer","Redeemer","https://app.redeemer.ca"
"rutgers","Rutgers University","https://nexus.rutgers.edu"
"spcollege","St. Petersburg College","https://titanhub.spcollege.edu"
"rollins","MyRollins","https://my.rollins.edu"
"sbu","Southwest Baptist University","https://portal.sbuniv.edu"
"swinburne","Pathify University","https://swinburne.pathify.com"
"saintmarys","Saint Mary\"s College","https://my.saintmarys.edu"
"sanjac","San Jacinto","https://my.sanjac.edu"
"semo","Southeast Missouri State","https://my.semo.edu"
"setonhill","Seton Hill University","https://my.setonhill.edu"
"rvu","Pathify University","https://myuniversity.rvu.edu"
"sbcc","Santa Barbara City College","https://my.sbcc.edu"
"simpson","Simpson University","https://my.simpsonu.edu"
"roanestate","Roane State","https://myraidernet.roanestate.edu"
"samford","Samford University","https://my.samford.edu"
"smcc","Southwest Mississippi Community College","https://my.smcc.edu"
"ssc","Stark State College","https://myssc.starkstate.edu"
"sus","Southern University System","https://mysuportal.sus.edu"
"racc","Reading Area Community College","https://myracc.racc.edu"
"svsu","Saginaw Valley State University","https://my.svsu.edu"
"svu","Southern Virginia University","https://app.svu.edu"
"senmc","Southeast New Mexico College","https://my.senmc.edu"
"tcc","Tallahassee State College","https://my.tsc.fl.edu"
"troy","Troy University","https://one.troy.edu"
"ventura","Ventura County Community College District","https://my.vcccd.edu"
"sru","Campus @ Salve","https://campus.salve.edu"
"uncp","University of North Carolina Pembroke","https://my.uncp.edu"
"stcc","Springfield Technical Community College","https://stccnetportal.stcc.edu"
"umo","University of Mount Olive","https://my.umo.edu"
"truett","Truett McConnell University","https://my.tmu.edu"
"sgu","SGU","https://myuniversity.sgu.edu"
"ung","Pathify University","https://ung.pathify.com"
"unwsp","University of Northwestern St. Paul","https://my.unw.edu"
"usi","University of Southern Indiana","https://portal.usi.edu"
"valencia","Valencia College","https://myvc.valenciacollege.edu"
"usnh","University System of New Hampshire","https://my.usnh.edu"
"uwa","UWA","https://uwa.pathify.com"
"virginia","The McIntire School of Commerce","https://my.mcintire.virginia.edu"
"virginiatech","Pathify University","https://virginiatech.pathify.com"
"stjohns","St. Johns University","https://connect.stjohns.edu"
"washcoll","Washington College","https://campus.washcoll.edu"
"wheaton","Wheaton College","https://gateway.wheaton.edu"
"wheatonma","Wheaton College Massachusetts","https://inside.wheatoncollege.edu"
"wilson","Wilson College","https://my.wilson.edu"
"wsutech","WSU Tech","https://my.wsutech.edu"
"wsc","Wayne State College","https://my.wsc.edu"
"wssu","Winston-Salem University","https://my.wssu.edu"
"xavier","Xavier University of Louisiana","https://my.xula.edu"
"touro","Touro University","https://mytouroone.touro.edu"
"wvncc","myWVNCC","https://wvnccportal.wvncc.edu"
"usu","Utah State University","https://my.usu.edu"
"uncsa","UNCSA","https://campus.uncsa.edu"
"truman","Truman State University","https://truview.truman.edu"
"andrew","Pathify University","https://andrew.pathify.com"
"jarrod","Pathify University","https://jarrod.pathify.com"
"igrar","Pathify University","https://igrar.pathify.com"
"amanda","Pathify University","https://amanda.pathify.com"
"documentation","Path University","https://documentation.pathify.com"
"emily","Training Team Portal","https://emily.pathify.com"
"staging","Pathify University","https://staging.pathify.com"
"testing","Ucroo University","https://testing-auto.pathify.com"
"testing-manual","Pathify University 2","https://testing-manual.pathify.com"
"training","Pathify University","https://training.pathify.com"
"huon","<error>","https://huon.pathify.com"
